"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"CSKMT_6"	"CSKMT"	1414	1739	694	1823	2464	2402	2208	1885	1938	1001	1711	1739	934	1221	2080	267
"CTRL_128"	"CTRL"	2022	2218	933	3235	2089	2731	2920	2884	2929	1291	2036	2372	3915	1180	1362	3791
"CTRL_128.1"	"CTRL"	1079	1166	713	1708	935	1141	1375	1108	1276	545	1640	1341	2423	760	408	763
"CTRL_128.2"	"CTRL"	2191	2881	867	2532	1938	2825	2240	1952	1855	1511	2050	1306	8234	1602	1268	3333
"CTRL_128.3"	"CTRL"	915	1015	910	2617	1801	1564	2068	2450	511	386	639	919	359	374	326	752
"CTRL_14"	"CTRL"	2126	2551	788	3013	2510	2882	1930	2200	2187	1294	1898	1725	11875	5163	2324	3975
"CTRL_14.1"	"CTRL"	1271	1616	327	901	860	875	578	837	1208	565	787	1115	7088	1152	491	217
"CTRL_14.2"	"CTRL"	1361	1484	959	2518	1890	2032	2397	3399	1593	726	1213	1472	4566	431	504	2879
"CTRL_14.3"	"CTRL"	795	986	350	895	900	1010	824	1339	486	211	336	431	976	832	606	693
"CTRL_145"	"CTRL"	2611	3180	1402	3352	2872	3497	2924	3126	3973	2644	3890	2954	9077	1806	2393	1637
"CTRL_145.1"	"CTRL"	1307	1629	582	2010	1428	1824	1081	1375	925	672	898	740	1532	143	1062	631
"CTRL_145.2"	"CTRL"	2136	2411	816	3276	2576	2561	1489	1859	2114	1154	2582	2148	3376	1228	1028	1136
"CTRL_145.3"	"CTRL"	3201	4039	1768	4972	4270	5597	5133	4371	3691	2224	3334	4328	2249	2257	1981	1391
